E_nu,cs,mc_cs,used_points,err,PDF21,PDF31,PDF40,struc,log40,log31,logstruc,log21
5000.0,25.5,99.388,3927.0,1.8020189213039966e-09,100.594,4.176,122.13,26.279,30.03484850763699,24.432842100633863,25.50632174138888,24.736481525203665
10000.0,44.6,172.71,3885.0,2.088200082690317e-09,174.162,6.506,212.522,45.832,52.30944070204878,42.475732711079296,44.513495166591646,42.86534957566394
20000.0,73.8,284.059,6615.0,7.475339288467222e-10,285.433,9.332,350.157,75.793,86.30699337478578,69.92765899865474,73.71955188865054,70.3536478306143
50000.0,133.0,505.314,6531.0,2.9329134793450166e-09,505.979,13.292,624.78,136.39,154.48221802037656,124.72182465678505,133.0800397259753,125.15860768672457
100000.0,199.0,742.39,14091.0,6.246900442409016e-10,742.556,16.08,919.558,202.49,228.28854625657,183.76982480146629,198.45082570929344,184.42799054939573
200000.0,287.0,1053.779,8841.0,1.1761262907832462e-08,1052.516,18.497,1307.348,290.658,326.7387413651059,262.35026452239754,287.1456750568253,263.8948387043108
500000.0,453.0,1606.211,11487.0,1.2663977643170524e-08,1606.502,21.064,1994.222,449.225,506.2897915854043,406.0334928374567,452.7170592609395,411.1801568387664
1000000.0,628.0,2148.898,14133.0,4.6055586238543445e-09,2152.945,22.565,2663.084,606.058,690.0495457438647,554.9291054396095,627.2657881521873,566.2278095878328
2000000.0,859.0,2805.567,14217.0,1.0928418258241433e-08,2813.253,23.756,3458.322,795.462,924.9975311648552,749.7086883227773,858.5198945897959,772.055706742678
5000000.0,1280.0,3811.902,16989.0,5.14522491718623e-09,3827.07,24.885,4649.583,1085.696,1329.9729754372352,1099.586207457356,1279.473126132354,1148.4498525852332
10000000.0,1710.0,4623.538,19593.0,3.901768362583183e-09,4638.03,25.51,5579.56,1317.829,1720.741423285932,1454.4838793981214,1711.8750560281685,1536.9927862666636
20000000.0,2270.0,5404.626,22323.0,3.5419823898969754e-09,5416.131,25.968,6454.293,1540.59,2197.525510939321,1908.308973754456,2271.191155897616,2041.14571933228
50000000.0,3260.0,6289.424,24969.0,4.616909291636999e-09,6295.308,26.387,7423.036,1793.206,2985.9957259154257,2700.175112688071,3261.1708816563964,2935.1582975529864
100000000.0,4250.0,6806.648,27615.0,4.562683030085949e-09,0.0,2.11,7977.18,1941.24,3727.312761798664,3481.6857160142868,4252.20133166078,0.0
200000000.0,5510.0,7187.885,30303.0,4.538559085301644e-09,0.0,1.076,8381.305,2051.43,4620.560698945976,4460.329889499887,5508.055380593308,0.0
500000000.0,7690.0,7518.684,35595.0,1.4419403876052716e-08,0.0,0.433,8728.418,2147.902,6086.499717111135,6134.946788639353,7683.263352122603,0.0
1000000000.0,9820.0,7671.066,38283.0,1.4467883878271622e-08,0.0,0.253,8886.614,2192.943,7458.682705006344,7764.822711621259,9819.66622756997,0.0
2000000000.0,12500.0,7766.864,11823.0,1.2732884419144609e-08,0.0,0.263,8985.514,4.02,9106.65845705702,9789.251742858218,12485.969942343092,0.0
5000000000.0,17000.0,7838.69,1533.0,1.253523961812234e-08,0.0,0.271,9057.726,2.505,11799.15669507848,13234.034937380751,17028.090837290238,0.0
10000000000.0,21426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000.0,26842.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000000000.0,35959.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000000000.0,44679.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000000000.0,55353.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000000000.0,73131.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000000000.0,90001.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000000000.0,110440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000000000.0,143666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
