E_nu,cs,
500,0.666571,
1000,1.22729,
2000,2.18696,
5000,4.33468,
10000,6.69803,
20000,9.53576,
50000,13.486,
100000,16.2555,
200000,18.6597,
500000,21.2224,
1e+06,22.7324,
2e+06,23.9297,
5e+06,25.1117,
1e+07,25.7636,
2e+07,26.2558,
5e+07,26.7149,
1e+08,26.9562,
2e+08,27.1296,
5e+08,27.2838,
1e+09,27.3585,
2e+09,27.4068,
5e+09,27.4414,
1e+10,27.2798,
2e+10,27.4567,
5e+10,27.4569,
1e+11,27.4522,
2e+11,27.4501,
5e+11,27.4486,
1e+12,27.4468,
2e+12,27.4474,
5e+12,27.4465,
