E_nu,cs,
500,3.00499,
1000,5.9278,
2000,11.3817,
5000,25.5126,
10000,44.5259,
20000,73.7349,
50000,133.103,
100000,198.479,
200000,287.186,
500000,452.783,
1e+06,627.352,
2e+06,858.65,
5e+06,1279.65,
1e+07,1712,
2e+07,2271.29,
5e+07,3261.89,
1e+08,4252.94,
2e+08,5508.93,
5e+08,7683.73,
1e+09,9821.34,
2e+09,12488.3,
5e+09,17029.8,
1e+10,21426,
2e+10,26842.8,
5e+10,35959.2,
1e+11,44679.3,
2e+11,55353.2,
5e+11,73131.1,
1e+12,90001.4,
2e+12,110440,
5e+12,143666,
