E_nu,cs,mc_cs,used_points,err
5000,25.5,122.13,4935.0,1.9671637334606957e-09
10000,44.6,212.522,4977.0,5.678414454472748e-09
20000,73.8,350.157,6447.0,2.486502565466416e-09
50000,133.0,624.78,6447.0,9.475980961683918e-09
100000,199.0,919.558,13965.0,3.0616504453189074e-09
200000,287.0,1307.348,13965.0,3.3144114393358477e-09
500000,453.0,1994.222,13965.0,5.395733261107715e-09
1000000,628.0,2663.084,14007.0,1.314857650865933e-08
2000000,859.0,3458.322,19341.0,4.0118011955569905e-09
5000000,1280.0,4649.583,21987.0,8.796711587675965e-09
10000000,1710.0,5579.56,19341.0,1.1597338240755883e-08
20000000,2270.0,6454.293,21987.0,1.046032579255784e-08
50000000,3260.0,7423.036,24633.0,1.1573253547160717e-08
100000000,4150.0,7977.18,27279.0,1.1600933618615181e-08
200000000,5510.0,8381.305,29967.0,1.1597335701766154e-08
500000000,7690.0,8728.418,37905.0,7.340935219372072e-09
